timestamp,id,hertz,acceleration,magnetic,gyro
2024-02-23T22:04:42.754433,2,10,"[-1.9609181207, -0.24885355039999998, 14.157733118549999]","[0.2303, -0.40390000000000004, -0.39676000000000006]","[4.959309436310588, -3.225368457685521, 3.1172453105244724]"
2024-02-23T22:04:42.854600,2,10,"[-0.99003035075, 0.23389840915, 9.8380901199]","[0.21910000000000002, -0.40698, -0.39704]","[-0.02733621940936119, -0.002138028333693054, -0.014355333097653362]"
2024-02-23T22:04:42.954614,2,10,"[-0.9978070242, 0.19322042494999997, 9.857830906349998]","[0.22946, -0.40278, -0.40096000000000004]","[-0.019853120241435502, -0.0007635815477475193, -0.012828170002158324]"
2024-02-23T22:04:43.054640,2,10,"[-0.9625128908499999, 0.22971096959999998, 9.869196813699999]","[0.22190000000000004, -0.40782000000000007, -0.40278]","[0.00045814892864851157, -0.005345070834232635, -0.013591751549905842]"
2024-02-23T22:04:43.154706,2,10,"[-1.00678010895, 0.2225325018, 9.8452685877]","[0.22246000000000002, -0.41118000000000005, -0.3971800000000001]","[-0.002138028333693054, -0.005345070834232635, -0.013286318930806834]"
2024-02-23T22:04:43.254766,2,10,"[-0.96610212475, 0.24047867129999997, 9.879366309749999]","[0.22078000000000003, -0.39746000000000004, -0.38388000000000005]","[-0.002138028333693054, -0.005345070834232635, -0.012522737383059314]"
2024-02-23T22:04:43.354826,2,10,"[-1.0193424276, 0.19800607015, 9.9038927414]","[0.21686000000000002, -0.4053, -0.38934]","[-0.004886921905584123, -0.004123340357836604, -0.012370021073509813]"
2024-02-23T22:04:43.454975,2,10,"[-0.9768698264499999, 0.22612173569999997, 9.8739824589]","[0.21686000000000002, -0.4011, -0.3831800000000001]","[-0.0035124751196385882, -0.003970624048287101, -0.012217304763960308]"
2024-02-23T22:04:43.555006,2,10,"[-0.9696913586499999, 0.21954147355, 9.858429112]","[0.22134000000000004, -0.4053, -0.39494000000000007]","[-0.004581489286485115, -0.008704829644321718, -0.009926560120717751]"
2024-02-23T22:04:43.655053,2,10,"[-0.9451649269999999, 0.23210379219999996, 9.9218389109]","[0.2177, -0.40446000000000004, -0.3836]","[-0.006566801310628666, -0.007330382858376185, -0.015882496193148403]"
2024-02-23T22:04:43.755450,2,10,"[-0.9714859755999999, 0.17108681589999997, 9.880562721050001]","[0.22050000000000003, -0.40726000000000007, -0.39326000000000005]","[-0.004886921905584123, -0.005345070834232635, -0.01145372321621279]"
2024-02-23T22:04:43.855412,2,10,"[-0.9906285563999999, 0.24227328824999997, 9.96191868945]","[0.22750000000000004, -0.40642, -0.3941]","[-0.002901609881440573, -0.003207042500539581, -0.010842857978014774]"
2024-02-23T22:04:43.955349,2,10,"[-0.9870393224999998, 0.2069791549, 9.850652438549998]","[0.23226000000000002, -0.4030600000000001, -0.39592]","[-0.0013744467859455349, -0.00015271630954950385, -0.01664607774089592]"
2024-02-23T22:04:44.055408,2,10,"[-0.99003035075, 0.18424734019999997, 9.89731247925]","[0.21658000000000002, -0.40138000000000007, -0.3995600000000001]","[-0.005192354524683131, -0.005345070834232635, -0.015271630954950386]"
2024-02-23T22:04:44.155470,2,10,"[-0.9625128908499999, 0.23389840915, 9.887142983199999]","[0.22582000000000002, -0.39942, -0.3890600000000001]","[-0.0022907446432425577, -0.004886921905584123, -0.010537425358915765]"
2024-02-23T22:04:44.255863,2,10,"[-0.861416136, 0.12203395259999998, 9.9684989516]","[0.22414, -0.4083800000000001, -0.40348]","[-0.008704829644321718, -0.008246680715673207, -0.013286318930806834]"
2024-02-23T22:04:44.355607,2,10,"[-1.016949605, 0.25124637299999997, 9.868598608049998]","[0.21966000000000002, -0.40502000000000005, -0.38500000000000006]","[-0.0018325957145940463, -0.0068722339297276735, -0.014813482026301873]"
2024-02-23T22:04:44.455661,2,10,"[-1.1030912186, 0.2679961312, 9.923035322199999]","[0.22190000000000004, -0.39326000000000005, -0.3794]","[-0.0022907446432425577, -0.0007635815477475193, -0.012370021073509813]"
2024-02-23T22:04:44.555759,2,10,"[-1.0863414604, 0.25184457865, 9.85424167245]","[0.22358, -0.40558000000000005, -0.39004]","[-0.005192354524683131, -0.003054326190990077, -0.010384709049366262]"
2024-02-23T22:04:44.655832,2,10,"[-1.0366903914499999, 0.2596212521, 9.909276592249999]","[0.22442, -0.41034000000000004, -0.39634]","[-0.0036651914291880926, -0.004886921905584123, -0.010842857978014774]"
2024-02-23T22:04:44.755865,2,10,"[-1.0301101293, 0.22791635265, 9.8668039911]","[0.21966000000000002, -0.40390000000000004, -0.38850000000000007]","[-0.006108652381980154, -0.004276056667386108, -0.010384709049366262]"
2024-02-23T22:04:44.856094,2,10,"[-0.9457631326499999, 0.19800607015, 9.84227755945]","[0.23142000000000001, -0.40362000000000003, -0.38654]","[-0.0025961772623415654, -0.002901609881440573, -0.011759155835311796]"
2024-02-23T22:04:44.956038,2,10,"[-0.9643075077999999, 0.19621145319999997, 9.96909715725]","[0.22722000000000003, -0.39998, -0.3931200000000001]","[-0.004581489286485115, -0.003970624048287101, -0.016340645121796914]"
2024-02-23T22:04:45.056091,2,10,"[-1.0121639597999998, 0.22791635265, 9.842875765099999]","[0.22246000000000002, -0.4030600000000001, -0.39284]","[-0.0033597588100890844, -0.0054977871437821395, -0.012828170002158324]"
